耗材类别	总序号	产品序号	耗材分类代码	"一级分类
（学科、品类）"	"二级分类
（用途、品目）"	"三级分类
（部位、功能、品种）"	"通用名
代码"	"医保
通用名"	"材质
代码"	材质	"特征
代码"	特征参数
	968	968	C03111608003014	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	014	桡骨/锁定加压
	969	969	C03111608003015	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	015	桡骨/万向锁定加压
	970	970	C03111608003016	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	016	手部/普通
	971	971	C03111608003017	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	017	手部/锁定加压
	972	972	C03111608003018	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	018	手部/万向锁定加压
	973	973	C03111608003019	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	019	足部/普通
	974	974	C03111608003020	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	020	足部/锁定加压
	975	975	C03111608003021	骨科材料	接骨板	小儿接骨板	080	固定板	03	钛合金	021	足部/万向锁定加压
	976	976	C03111708001001	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	001	肩部/成人
	977	977	C03111708001002	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	002	肩部/小儿
	978	978	C03111708001003	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	003	肘部/成人
	979	979	C03111708001004	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	004	肘部/小儿
	980	980	C03111708001005	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	005	前臂/成人
	981	981	C03111708001006	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	006	前臂/小儿
	982	982	C03111708001007	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	007	掌指骨/成人
	983	983	C03111708001008	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	008	掌指骨/小儿
	984	984	C03111708001009	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	009	髋部/成人
	985	985	C03111708001010	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	010	髋部/小儿
	986	986	C03111708001011	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	011	膝部/成人
	987	987	C03111708001012	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	012	膝部/小儿
	988	988	C03111708001013	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	013	踝部/成人
	989	989	C03111708001014	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	014	踝部/小儿
	990	990	C03111708001015	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	015	前中足/成人
	991	991	C03111708001016	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	016	前中足/小儿
	992	992	C03111708001017	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	017	后足/成人
	993	993	C03111708001018	骨科材料	接骨板	矫形板	080	固定板	01	不锈钢	018	后足/小儿
	994	994	C03111708002001	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	001	肩部/成人
	995	995	C03111708002002	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	002	肩部/小儿
	996	996	C03111708002003	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	003	肘部/成人
	997	997	C03111708002004	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	004	肘部/小儿
	998	998	C03111708002005	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	005	前臂/成人
	999	999	C03111708002006	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	006	前臂/小儿
	1000	1000	C03111708002007	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	007	掌指骨/成人
	1001	1001	C03111708002008	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	008	掌指骨/小儿
	1002	1002	C03111708002009	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	009	髋部/成人
	1003	1003	C03111708002010	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	010	髋部/小儿
	1004	1004	C03111708002011	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	011	膝部/成人
	1005	1005	C03111708002012	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	012	膝部/小儿
	1006	1006	C03111708002013	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	013	踝部/成人
	1007	1007	C03111708002014	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	014	踝部/小儿
	1008	1008	C03111708002015	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	015	前中足/成人
	1009	1009	C03111708002016	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	016	前中足/小儿
	1010	1010	C03111708002017	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	017	后足/成人
	1011	1011	C03111708002018	骨科材料	接骨板	矫形板	080	固定板	02	纯钛	018	后足/小儿
	1012	1012	C03111708003001	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	001	肩部/成人
	1013	1013	C03111708003002	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	002	肩部/小儿
	1014	1014	C03111708003003	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	003	肘部/成人
	1015	1015	C03111708003004	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	004	肘部/小儿
	1016	1016	C03111708003005	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	005	前臂/成人
	1017	1017	C03111708003006	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	006	前臂/小儿
	1018	1018	C03111708003007	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	007	掌指骨/成人
	1019	1019	C03111708003008	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	008	掌指骨/小儿
	1020	1020	C03111708003009	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	009	髋部/成人
	1021	1021	C03111708003010	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	010	髋部/小儿
	1022	1022	C03111708003011	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	011	膝部/成人
	1023	1023	C03111708003012	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	012	膝部/小儿
	1024	1024	C03111708003013	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	013	踝部/成人
	1025	1025	C03111708003014	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	014	踝部/小儿
	1026	1026	C03111708003015	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	015	前中足/成人
	1027	1027	C03111708003016	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	016	前中足/小儿
	1028	1028	C03111708003017	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	017	后足/成人
	1029	1029	C03111708003018	骨科材料	接骨板	矫形板	080	固定板	03	钛合金	018	后足/小儿
	1030	1030	C03111908001001	骨科材料	接骨板	其他接骨板	080	固定板	01	不锈钢	001	普通
	1031	1031	C03111908001002	骨科材料	接骨板	其他接骨板	080	固定板	01	不锈钢	002	锁定加压
	1032	1032	C03111908001003	骨科材料	接骨板	其他接骨板	080	固定板	01	不锈钢	003	万向锁定加压
	1033	1033	C03111908002001	骨科材料	接骨板	其他接骨板	080	固定板	02	纯钛	001	普通
	1034	1034	C03111908002002	骨科材料	接骨板	其他接骨板	080	固定板	02	纯钛	002	锁定加压
	1035	1035	C03111908002003	骨科材料	接骨板	其他接骨板	080	固定板	02	纯钛	003	万向锁定加压
	1036	1036	C03111908003001	骨科材料	接骨板	其他接骨板	080	固定板	03	钛合金	001	普通
	1037	1037	C03111908003002	骨科材料	接骨板	其他接骨板	080	固定板	03	钛合金	002	锁定加压
	1038	1038	C03111908003003	骨科材料	接骨板	其他接骨板	080	固定板	03	钛合金	003	万向锁定加压
	1039	1039	C03112008001001	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	001	肩/普通
	1040	1040	C03112008001002	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	002	肩/锁定加压
	1041	1041	C03112008001003	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	003	肩/万向锁定加压
	1042	1042	C03112008001004	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	004	肘/普通
	1043	1043	C03112008001005	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	005	肘/锁定加压
	1044	1044	C03112008001006	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	006	肘/万向锁定加压
	1045	1045	C03112008001007	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	007	腕/普通
	1046	1046	C03112008001008	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	008	腕/锁定加压
	1047	1047	C03112008001009	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	009	腕/万向锁定加压
	1048	1048	C03112008001010	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	010	髋/普通
	1049	1049	C03112008001011	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	011	髋/锁定加压
	1050	1050	C03112008001012	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	012	髋/万向锁定加压
	1051	1051	C03112008001013	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	013	膝/普通
	1052	1052	C03112008001014	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	014	膝/锁定加压
	1053	1053	C03112008001015	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	015	膝/万向锁定加压
	1054	1054	C03112008001016	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	016	踝/普通
	1055	1055	C03112008001017	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	017	踝/锁定加压
	1056	1056	C03112008001018	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	018	踝/万向锁定加压
	1057	1057	C03112008001019	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	019	足/普通
	1058	1058	C03112008001020	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	020	足/锁定加压
	1059	1059	C03112008001021	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	021	足/万向锁定加压
	1060	1060	C03112008001022	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	022	掌指/普通
	1061	1061	C03112008001023	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	023	掌指/锁定加压
	1062	1062	C03112008001024	骨科材料	接骨板	关节融合板	080	固定板	01	不锈钢	024	掌指/万向锁定加压
	1063	1063	C03112008002001	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	001	肩/普通
	1064	1064	C03112008002002	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	002	肩/锁定加压
	1065	1065	C03112008002003	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	003	肩/万向锁定加压
	1066	1066	C03112008002004	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	004	肘/普通
	1067	1067	C03112008002005	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	005	肘/锁定加压
	1068	1068	C03112008002006	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	006	肘/万向锁定加压
	1069	1069	C03112008002007	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	007	腕/普通
	1070	1070	C03112008002008	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	008	腕/锁定加压
	1071	1071	C03112008002009	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	009	腕/万向锁定加压
	1072	1072	C03112008002010	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	010	髋/普通
	1073	1073	C03112008002011	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	011	髋/锁定加压
	1074	1074	C03112008002012	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	012	髋/万向锁定加压
	1075	1075	C03112008002013	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	013	膝/普通
	1076	1076	C03112008002014	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	014	膝/锁定加压
	1077	1077	C03112008002015	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	015	膝/万向锁定加压
	1078	1078	C03112008002016	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	016	踝/普通
	1079	1079	C03112008002017	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	017	踝/锁定加压
	1080	1080	C03112008002018	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	018	踝/万向锁定加压
	1081	1081	C03112008002019	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	019	足/普通
	1082	1082	C03112008002020	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	020	足/锁定加压
	1083	1083	C03112008002021	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	021	足/万向锁定加压
	1084	1084	C03112008002022	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	022	掌指/普通
	1085	1085	C03112008002023	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	023	掌指/锁定加压
	1086	1086	C03112008002024	骨科材料	接骨板	关节融合板	080	固定板	02	纯钛	024	掌指/万向锁定加压
	1087	1087	C03112008003001	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	001	肩/普通
	1088	1088	C03112008003002	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	002	肩/锁定加压
	1089	1089	C03112008003003	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	003	肩/万向锁定加压
	1090	1090	C03112008003004	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	004	肘/普通
	1091	1091	C03112008003005	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	005	肘/锁定加压
	1092	1092	C03112008003006	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	006	肘/万向锁定加压
	1093	1093	C03112008003007	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	007	腕/普通
	1094	1094	C03112008003008	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	008	腕/锁定加压
	1095	1095	C03112008003009	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	009	腕/万向锁定加压
	1096	1096	C03112008003010	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	010	髋/普通
	1097	1097	C03112008003011	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	011	髋/锁定加压
	1098	1098	C03112008003012	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	012	髋/万向锁定加压
	1099	1099	C03112008003013	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	013	膝/普通
	1100	1100	C03112008003014	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	014	膝/锁定加压
	1101	1101	C03112008003015	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	015	膝/万向锁定加压
	1102	1102	C03112008003016	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	016	踝/普通
	1103	1103	C03112008003017	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	017	踝/锁定加压
	1104	1104	C03112008003018	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	018	踝/万向锁定加压
	1105	1105	C03112008003019	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	019	足/普通
	1106	1106	C03112008003020	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	020	足/锁定加压
	1107	1107	C03112008003021	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	021	足/万向锁定加压
	1108	1108	C03112008003022	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	022	掌指/普通
	1109	1109	C03112008003023	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	023	掌指/锁定加压
	1110	1110	C03112008003024	骨科材料	接骨板	关节融合板	080	固定板	03	钛合金	024	掌指/万向锁定加压
	1111	1111	C03112108001001	骨科材料	接骨板	肩胛骨接骨板	080	固定板	01	不锈钢	001	普通/灭菌
	1112	1112	C03112108001002	骨科材料	接骨板	肩胛骨接骨板	080	固定板	01	不锈钢	002	普通/非灭菌
	1113	1113	C03112108001003	骨科材料	接骨板	肩胛骨接骨板	080	固定板	01	不锈钢	003	锁定加压/灭菌
	1114	1114	C03112108001004	骨科材料	接骨板	肩胛骨接骨板	080	固定板	01	不锈钢	004	锁定加压/非灭菌
	1115	1115	C03112108001005	骨科材料	接骨板	肩胛骨接骨板	080	固定板	01	不锈钢	005	万向锁定加压/灭菌
	1116	1116	C03112108001006	骨科材料	接骨板	肩胛骨接骨板	080	固定板	01	不锈钢	006	万向锁定加压/非灭菌
	1117	1117	C03112108002001	骨科材料	接骨板	肩胛骨接骨板	080	固定板	02	纯钛	001	普通/灭菌
	1118	1118	C03112108002002	骨科材料	接骨板	肩胛骨接骨板	080	固定板	02	纯钛	002	普通/非灭菌
	1119	1119	C03112108002003	骨科材料	接骨板	肩胛骨接骨板	080	固定板	02	纯钛	003	锁定加压/灭菌
	1120	1120	C03112108002004	骨科材料	接骨板	肩胛骨接骨板	080	固定板	02	纯钛	004	锁定加压/非灭菌
	1121	1121	C03112108002005	骨科材料	接骨板	肩胛骨接骨板	080	固定板	02	纯钛	005	万向锁定加压/灭菌
	1122	1122	C03112108002006	骨科材料	接骨板	肩胛骨接骨板	080	固定板	02	纯钛	006	万向锁定加压/非灭菌
	1123	1123	C03112108003001	骨科材料	接骨板	肩胛骨接骨板	080	固定板	03	钛合金	001	普通/灭菌
	1124	1124	C03112108003002	骨科材料	接骨板	肩胛骨接骨板	080	固定板	03	钛合金	002	普通/非灭菌
	1125	1125	C03112108003003	骨科材料	接骨板	肩胛骨接骨板	080	固定板	03	钛合金	003	锁定加压/灭菌
	1126	1126	C03112108003004	骨科材料	接骨板	肩胛骨接骨板	080	固定板	03	钛合金	004	锁定加压/非灭菌
	1127	1127	C03112108003005	骨科材料	接骨板	肩胛骨接骨板	080	固定板	03	钛合金	005	万向锁定加压/灭菌
	1128	1128	C03112108003006	骨科材料	接骨板	肩胛骨接骨板	080	固定板	03	钛合金	006	万向锁定加压/非灭菌
	1129	1129	C03120107901001	骨科材料	螺钉	万向锁定螺钉	079	螺钉	01	不锈钢	001	灭菌/直径≤2.7mm以下
	1130	1130	C03120107901002	骨科材料	螺钉	万向锁定螺钉	079	螺钉	01	不锈钢	002	灭菌/2.7＜直径≤4mm
	1131	1131	C03120107901003	骨科材料	螺钉	万向锁定螺钉	079	螺钉	01	不锈钢	003	灭菌/直径＞4mm以上
	1132	1132	C03120107901004	骨科材料	螺钉	万向锁定螺钉	079	螺钉	01	不锈钢	004	非灭菌/直径≤2.7mm以下
	1133	1133	C03120107901005	骨科材料	螺钉	万向锁定螺钉	079	螺钉	01	不锈钢	005	非灭菌/2.7＜直径≤4mm
	1134	1134	C03120107901006	骨科材料	螺钉	万向锁定螺钉	079	螺钉	01	不锈钢	006	非灭菌/直径＞4mm以上
	1135	1135	C03120107902001	骨科材料	螺钉	万向锁定螺钉	079	螺钉	02	纯钛	001	灭菌/直径≤2.7mm以下
	1136	1136	C03120107902002	骨科材料	螺钉	万向锁定螺钉	079	螺钉	02	纯钛	002	灭菌/2.7＜直径≤4mm
	1137	1137	C03120107902003	骨科材料	螺钉	万向锁定螺钉	079	螺钉	02	纯钛	003	灭菌/直径＞4mm以上
	1138	1138	C03120107903001	骨科材料	螺钉	万向锁定螺钉	079	螺钉	03	钛合金	001	灭菌/直径≤2.7mm以下
	1139	1139	C03120107903002	骨科材料	螺钉	万向锁定螺钉	079	螺钉	03	钛合金	002	灭菌/2.7＜直径≤4mm
	1140	1140	C03120107903003	骨科材料	螺钉	万向锁定螺钉	079	螺钉	03	钛合金	003	灭菌/直径＞4mm以上
	1141	1141	C03120107903004	骨科材料	螺钉	万向锁定螺钉	079	螺钉	03	钛合金	004	非灭菌/直径≤2.7mm以下
	1142	1142	C03120107903005	骨科材料	螺钉	万向锁定螺钉	079	螺钉	03	钛合金	005	非灭菌/2.7＜直径≤4mm
	1143	1143	C03120107903006	骨科材料	螺钉	万向锁定螺钉	079	螺钉	03	钛合金	006	非灭菌/直径＞4mm以上
	1144	1144	C03120107904001	骨科材料	螺钉	万向锁定螺钉	079	螺钉	04	其他合金	001	灭菌/直径≤2.7mm以下
	1145	1145	C03120107904002	骨科材料	螺钉	万向锁定螺钉	079	螺钉	04	其他合金	002	灭菌/2.7＜直径≤4mm
	1146	1146	C03120107904003	骨科材料	螺钉	万向锁定螺钉	079	螺钉	04	其他合金	003	灭菌/直径＞4mm以上
	1147	1147	C03120107904004	骨科材料	螺钉	万向锁定螺钉	079	螺钉	04	其他合金	004	非灭菌/直径≤2.7mm以下
	1148	1148	C03120107904005	骨科材料	螺钉	万向锁定螺钉	079	螺钉	04	其他合金	005	非灭菌/2.7＜直径≤4mm
	1149	1149	C03120107904006	骨科材料	螺钉	万向锁定螺钉	079	螺钉	04	其他合金	006	非灭菌/直径＞4mm以上
	1150	1150	C03120207901001	骨科材料	螺钉	普通锁定螺钉	079	螺钉	01	不锈钢	001	灭菌/直径≤2.7mm以下
	1151	1151	C03120207901002	骨科材料	螺钉	普通锁定螺钉	079	螺钉	01	不锈钢	002	灭菌/2.7＜直径≤4mm
	1152	1152	C03120207901003	骨科材料	螺钉	普通锁定螺钉	079	螺钉	01	不锈钢	003	灭菌/直径＞4mm以上
	1153	1153	C03120207901004	骨科材料	螺钉	普通锁定螺钉	079	螺钉	01	不锈钢	004	非灭菌/直径≤2.7mm以下
	1154	1154	C03120207901005	骨科材料	螺钉	普通锁定螺钉	079	螺钉	01	不锈钢	005	非灭菌/2.7＜直径≤4mm
	1155	1155	C03120207901006	骨科材料	螺钉	普通锁定螺钉	079	螺钉	01	不锈钢	006	非灭菌/直径＞4mm以上
	1156	1156	C03120207902001	骨科材料	螺钉	普通锁定螺钉	079	螺钉	02	纯钛	001	灭菌/直径≤2.7mm以下
	1157	1157	C03120207902002	骨科材料	螺钉	普通锁定螺钉	079	螺钉	02	纯钛	002	灭菌/2.7＜直径≤4mm
	1158	1158	C03120207902003	骨科材料	螺钉	普通锁定螺钉	079	螺钉	02	纯钛	003	灭菌/直径＞4mm以上
	1159	1159	C03120207902004	骨科材料	螺钉	普通锁定螺钉	079	螺钉	02	纯钛	004	非灭菌/直径≤2.7mm以下
	1160	1160	C03120207902005	骨科材料	螺钉	普通锁定螺钉	079	螺钉	02	纯钛	005	非灭菌/2.7＜直径≤4mm
	1161	1161	C03120207902006	骨科材料	螺钉	普通锁定螺钉	079	螺钉	02	纯钛	006	非灭菌/直径＞4mm以上
	1162	1162	C03120207903001	骨科材料	螺钉	普通锁定螺钉	079	螺钉	03	钛合金	001	灭菌/直径≤2.7mm以下
	1163	1163	C03120207903002	骨科材料	螺钉	普通锁定螺钉	079	螺钉	03	钛合金	002	灭菌/2.7＜直径≤4mm
	1164	1164	C03120207903003	骨科材料	螺钉	普通锁定螺钉	079	螺钉	03	钛合金	003	灭菌/直径＞4mm以上
	1165	1165	C03120207903004	骨科材料	螺钉	普通锁定螺钉	079	螺钉	03	钛合金	004	非灭菌/直径≤2.7mm以下
	1166	1166	C03120207903005	骨科材料	螺钉	普通锁定螺钉	079	螺钉	03	钛合金	005	非灭菌/2.7＜直径≤4mm
	1167	1167	C03120207903006	骨科材料	螺钉	普通锁定螺钉	079	螺钉	03	钛合金	006	非灭菌/直径＞4mm以上
	1168	1168	C03120207904001	骨科材料	螺钉	普通锁定螺钉	079	螺钉	04	其他合金	001	灭菌/直径≤2.7mm以下
	1169	1169	C03120207904002	骨科材料	螺钉	普通锁定螺钉	079	螺钉	04	其他合金	002	灭菌/2.7＜直径≤4mm
	1170	1170	C03120207904003	骨科材料	螺钉	普通锁定螺钉	079	螺钉	04	其他合金	003	灭菌/直径＞4mm以上
	1171	1171	C03120207904004	骨科材料	螺钉	普通锁定螺钉	079	螺钉	04	其他合金	004	非灭菌/直径≤2.7mm以下
	1172	1172	C03120207904005	骨科材料	螺钉	普通锁定螺钉	079	螺钉	04	其他合金	005	非灭菌/2.7＜直径≤4mm
	1173	1173	C03120207904006	骨科材料	螺钉	普通锁定螺钉	079	螺钉	04	其他合金	006	非灭菌/直径＞4mm以上
	1174	1174	C03120307901001	骨科材料	螺钉	皮质骨螺钉	079	螺钉	01	不锈钢	001	灭菌/直径≤2.7mm以下
	1175	1175	C03120307901002	骨科材料	螺钉	皮质骨螺钉	079	螺钉	01	不锈钢	002	灭菌/2.7＜直径≤4mm
	1176	1176	C03120307901003	骨科材料	螺钉	皮质骨螺钉	079	螺钉	01	不锈钢	003	灭菌/直径＞4mm以上
	1177	1177	C03120307901004	骨科材料	螺钉	皮质骨螺钉	079	螺钉	01	不锈钢	004	非灭菌/直径≤2.7mm以下
	1178	1178	C03120307901005	骨科材料	螺钉	皮质骨螺钉	079	螺钉	01	不锈钢	005	非灭菌/2.7＜直径≤4mm
	1179	1179	C03120307901006	骨科材料	螺钉	皮质骨螺钉	079	螺钉	01	不锈钢	006	非灭菌/直径＞4mm以上
	1180	1180	C03120307902001	骨科材料	螺钉	皮质骨螺钉	079	螺钉	02	纯钛	001	灭菌/直径≤2.7mm以下
	1181	1181	C03120307902002	骨科材料	螺钉	皮质骨螺钉	079	螺钉	02	纯钛	002	灭菌/2.7＜直径≤4mm
	1182	1182	C03120307902003	骨科材料	螺钉	皮质骨螺钉	079	螺钉	02	纯钛	003	灭菌/直径＞4mm以上
	1183	1183	C03120307902004	骨科材料	螺钉	皮质骨螺钉	079	螺钉	02	纯钛	004	非灭菌/直径≤2.7mm以下
	1184	1184	C03120307902005	骨科材料	螺钉	皮质骨螺钉	079	螺钉	02	纯钛	005	非灭菌/2.7＜直径≤4mm
	1185	1185	C03120307902006	骨科材料	螺钉	皮质骨螺钉	079	螺钉	02	纯钛	006	非灭菌/直径＞4mm以上
	1186	1186	C03120307903001	骨科材料	螺钉	皮质骨螺钉	079	螺钉	03	钛合金	001	灭菌/直径≤2.7mm以下
	1187	1187	C03120307903002	骨科材料	螺钉	皮质骨螺钉	079	螺钉	03	钛合金	002	灭菌/2.7＜直径≤4mm
	1188	1188	C03120307903003	骨科材料	螺钉	皮质骨螺钉	079	螺钉	03	钛合金	003	灭菌/直径＞4mm以上
	1189	1189	C03120307903004	骨科材料	螺钉	皮质骨螺钉	079	螺钉	03	钛合金	004	非灭菌/直径≤2.7mm以下
	1190	1190	C03120307903005	骨科材料	螺钉	皮质骨螺钉	079	螺钉	03	钛合金	005	非灭菌/2.7＜直径≤4mm
	1191	1191	C03120307903006	骨科材料	螺钉	皮质骨螺钉	079	螺钉	03	钛合金	006	非灭菌/直径＞4mm以上
	1192	1192	C03120307904001	骨科材料	螺钉	皮质骨螺钉	079	螺钉	04	其他材料	001	灭菌/直径≤2.7mm以下
	1193	1193	C03120307904002	骨科材料	螺钉	皮质骨螺钉	079	螺钉	04	其他材料	002	灭菌/2.7＜直径≤4mm
	1194	1194	C03120307904003	骨科材料	螺钉	皮质骨螺钉	079	螺钉	04	其他材料	003	灭菌/直径＞4mm以上
	1195	1195	C03120307904004	骨科材料	螺钉	皮质骨螺钉	079	螺钉	04	其他材料	004	非灭菌/直径≤2.7mm以下
	1196	1196	C03120307904005	骨科材料	螺钉	皮质骨螺钉	079	螺钉	04	其他材料	005	非灭菌/2.7＜直径≤4mm
	1197	1197	C03120307904006	骨科材料	螺钉	皮质骨螺钉	079	螺钉	04	其他材料	006	非灭菌/直径＞4mm以上
	1198	1198	C03120407901001	骨科材料	螺钉	松质骨螺钉	079	螺钉	01	不锈钢	001	锁定/全螺纹/灭菌/直径≤2.7mm以下
	1199	1199	C03120407901002	骨科材料	螺钉	松质骨螺钉	079	螺钉	01	不锈钢	002	锁定/全螺纹/灭菌/2.7＜直径≤4mm
	1200	1200	C03120407901003	骨科材料	螺钉	松质骨螺钉	079	螺钉	01	不锈钢	003	锁定/全螺纹/灭菌/直径＞4mm以上
	1201	1201	C03120407901004	骨科材料	螺钉	松质骨螺钉	079	螺钉	01	不锈钢	004	锁定/全螺纹/非灭菌/直径≤2.7mm以下
